name,country,category,language,status,code,latencyMs,httpStatus,urlHost,urlHash,checkedAt
"RCN Deportes","CO","Public Sports","Spanish","ok","OK","376","200","www.noticiasrcn.com","67045345857466eb","2026-09-11T02:37:23.109Z"
"RDS","CA","Public Sports","French","ok","OK","214","200","www.rds.ca","959b4eaee74a4966","2026-09-11T02:37:03.787Z"
"Record","PT","Public Sports","Portuguese","ok","OK","1229","200","www.record.pt","1e974e3972ecbdaa","2026-09-11T02:37:15.133Z"
"RMC Sport","FR","Public Sports","French","ok","OK","120","200","rmcsport.bfmtv.com","8f2c352f8039182b","2026-09-11T02:37:11.603Z"
"RTBF","BE","World Cup 2026","French","ok","OK","963","200","www.rtbf.be","7610f5fd23831c40","2026-09-11T02:36:07.010Z"
"RTBF Sport","BE","Public Sports","French","ok","OK","2120","200","www.rtbf.be","6b39a6a0c4384fc3","2026-09-11T02:37:16.363Z"
"RTÉ","IE","World Cup 2026","English","ok","OK","1221","200","www.rte.ie","80b6ca0e8d7c6b21","2026-09-11T02:36:27.389Z"
"RTE Sport","IE","Public Sports","English","ok","OK","284","200","www.rte.ie","e15a5e9842a66e93","2026-09-11T02:37:04.602Z"
"RTHK Sport","HK","Public Sports","Chinese","ok","OK","1794","200","www.rthk.hk","edb70874a1741152","2026-09-11T02:37:33.965Z"
"RTP","PT","World Cup 2026","Portuguese","ok","OK","1319","200","www.rtp.pt","eaa997376a92772b","2026-09-11T02:36:40.509Z"
"RTP Desporto","PT","Public Sports","Portuguese","ok","OK","316","200","www.rtp.pt","6b88463ee6bc4aa7","2026-09-11T02:37:15.132Z"
"RTS","CH","World Cup 2026","French","ok","OK","95","200","www.rts.ch","b14847fe6fd10ea5","2026-09-11T02:36:14.016Z"
"RTS Sport","CH","Public Sports","French","ok","OK","617","200","www.rts.ch","beec1ac5baea5620","2026-09-11T02:37:16.364Z"
"RTVE","ES","World Cup 2026","Spanish","ok","OK","694","200","www.rtve.es","5287f926d0a26b0f","2026-09-11T02:36:17.528Z"
"RTVE Deportes","ES","Public Sports","Spanish","ok","OK","14","200","www.rtve.es","f251a88c1ac1893a","2026-09-11T02:37:13.237Z"
"RTVS","SK","World Cup 2026","Slovak","ok","OK","2333","200","www.rtvs.sk","4ecee982000d5747","2026-09-11T02:36:50.129Z"
"SBS","AU","World Cup 2026","English","ok","OK","1040","200","www.sbs.com.au","f2f5994508aff262","2026-09-11T02:36:04.910Z"
"SBS Sport","AU","Public Sports","English","ok","OK","788","200","www.sbs.com.au","d96b3bdce0a5c40d","2026-09-11T02:37:16.366Z"
"SBS Sports Korea","KR","Public Sports","Korean","ok","OK","1569","200","programs.sbs.co.kr","2e0c506a181143d0","2026-09-11T02:37:21.003Z"
"Sina Sports","CN","Public Sports","Chinese","ok","OK","2352","200","sports.sina.com.cn","93dde2bb55e49653","2026-09-11T02:37:31.612Z"
"Sky Sport Italia","IT","World Cup 2026","Italian","ok","OK","1717","200","sport.sky.it","456e0aa864ea78f0","2026-09-11T02:36:27.392Z"
"Sky Sport NZ","NZ","World Cup 2026","English","ok","OK","1098","200","www.skysportnow.co.nz","39146f71a573feb1","2026-09-11T02:36:40.507Z"
"Sky Sports","GB","Public Sports","English","ok","OK","189","200","www.skysports.com","160143b224de47bb","2026-09-11T02:37:04.600Z"
"Sport","ES","Public Sports","Spanish","ok","OK","977","200","www.sport.es","310c67ef00a89e97","2026-09-11T02:37:13.240Z"
"Sport TV","PT","World Cup 2026","Portuguese","ok","OK","1360","200","www.sporttv.pt","3066cff585ffd957","2026-09-11T02:36:40.510Z"
"Sport TV Portugal","PT","Public Sports","Portuguese","ok","OK","873","200","www.sporttv.pt","3066cff585ffd957","2026-09-11T02:37:15.135Z"
"SPORT1","DE","Public Sports","German","ok","OK","899","200","www.sport1.de","0b972b1c74fd3c2d","2026-09-11T02:37:11.604Z"
"SportMediaset","IT","Public Sports","Italian","ok","OK","1154","200","www.sportmediaset.mediaset.it","2299ab2275fcb98b","2026-09-11T02:37:13.241Z"
"Sports18","IN","World Cup 2026","English","ok","OK","966","200","www.sports18.com","c1ef45d0c501b757","2026-09-11T02:36:27.390Z"
