name,country,category,language,status,code,latencyMs,httpStatus,urlHost,urlHash,checkedAt
"RTHK Sport","HK","Public Sports","Chinese","warn","WARN_SLOW","2793","200","www.rthk.hk","edb70874a1741152","2026-06-24T10:45:35.893Z"
"ServusTV Sport","AT","Public Sports","German","warn","WARN_SLOW","3624","200","www.servustv.com","94c00373f3a51072","2026-06-24T10:45:16.951Z"
"AS","ES","Public Sports","Spanish","fail","FAIL_HTTP","129","403","as.com","a42d0b3d7774044e","2026-06-24T10:45:13.351Z"
"Canal+ Sport","FR","Public Sports","French","fail","FAIL_HTTP","593","403","www.canalplus.com","a531ffb958695b00","2026-06-24T10:45:10.203Z"
"Caracol Deportes","CO","Public Sports","Spanish","fail","FAIL_HTTP","732","404","www.caracoltv.com","26609c04f3b63497","2026-06-24T10:45:31.738Z"
"DAZN Italia","IT","Public Sports","Italian","fail","FAIL_HTTP","1430","403","www.dazn.com","83b1de10b3b58b2a","2026-06-24T10:45:13.355Z"
"DAZN Japan","JP","Public Sports","Japanese","fail","FAIL_HTTP","1061","403","www.dazn.com","261c096f6d8c353c","2026-06-24T10:45:20.580Z"
"FIFA+","GLOBAL","Public Sports","Multilingual","fail","FAIL_HTTP","282","403","www.plus.fifa.com","703d1e199de2bac4","2026-06-24T10:44:54.343Z"
"ITV Sport","GB","Public Sports","English","fail","FAIL_TIMEOUT","","","www.itv.com","25ceaced141c073b","2026-06-24T10:45:03.198Z"
"Olympics Channel","GLOBAL","Public Sports","English","fail","FAIL_TIMEOUT","","","olympics.com","e939b17ff6530390","2026-06-24T10:44:54.342Z"
"SIC Noticias Desporto","PT","Public Sports","Portuguese","fail","FAIL_HTTP","384","403","sicnoticias.pt","902b1fcb56c9d07b","2026-06-24T10:45:15.584Z"
"Sony Sports Network","IN","Public Sports","English","fail","FAIL_HTTP","368","403","www.sonysportsnetwork.com","5e4cae0fded4fcac","2026-06-24T10:45:22.647Z"
"SporTV","BR","Public Sports","Portuguese","fail","FAIL_TIMEOUT","","","canaisglobo.globo.com","f843c9024d63b596","2026-06-24T10:45:24.736Z"
"TNT Sports","GB","Public Sports","English","fail","FAIL_HTTP","232","403","www.tntsports.co.uk","a32c76bbaeb94aac","2026-06-24T10:45:10.198Z"
"TNT Sports Argentina","AR","Public Sports","Spanish","fail","FAIL_HTTP","962","403","tntsports.com.ar","1efe9e2353dca85d","2026-06-24T10:45:24.738Z"
"TNT Sports Brasil","BR","Public Sports","Portuguese","fail","FAIL_HTTP","560","403","tntsports.com.br","742fe807906dbcf0","2026-06-24T10:45:24.737Z"
"TNT Sports Chile","CL","Public Sports","Spanish","fail","FAIL_HTTP","191","403","tntsports.cl","bac74ae17a309a94","2026-06-24T10:45:31.736Z"
"TVNZ Sport","NZ","Public Sports","English","fail","FAIL_HTTP","1257","404","www.tvnz.co.nz","e126dfb3c77db696","2026-06-24T10:45:20.578Z"
"Virgin Media Sport","IE","Public Sports","English","fail","FAIL_HTTP","860","404","www.virginmediatelevision.ie","7d3f7d725fa139b0","2026-06-24T10:45:10.201Z"
